Main_Category_Key,Main_Category_Title,Main_Category_Description,Subcategory_Key,Subcategory_Name
tongue,"Sins of the Tongue","Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech.",tongue_lying,"Lying"
tongue,"Sins of the Tongue","Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech.",tongue_backbiting,"Backbiting"
tongue,"Sins of the Tongue","Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech.",tongue_arguments,"Arguments"
tongue,"Sins of the Tongue","Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech.",tongue_negative_speech,"Negative Speech"
tongue,"Sins of the Tongue","Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech.",tongue_insincerity,"Insincerity"
tongue,"Sins of the Tongue","Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech.",tongue_betraying_confidence,"Betraying Confidence"
tongue,"Sins of the Tongue","Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech.",tongue_excessive_speech,"Excessive Speech"
tongue,"Sins of the Tongue","Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech.",tongue_inappropriate_humor,"Inappropriate Humor"
tongue,"Sins of the Tongue","Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech.",tongue_dominating_speech,"Dominating Speech"
tongue,"Sins of the Tongue","Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech.",tongue_impulsive_speech,"Impulsive Speech"
tongue,"Sins of the Tongue","Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech.",tongue_thoughtless_speech,"Thoughtless Speech"
tongue,"Sins of the Tongue","Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech.",tongue_manipulation,"Manipulation"
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_inappropriate_viewing,"Inappropriate Viewing"
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_lowering_gaze,"Lowering Gaze"
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_inappropriate_content,"Inappropriate Content"
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_social_media,"Social Media"
