challenge_id,category,subcategory,duration_days,difficulty,title_en,description_en,title_ar,description_ar,title_fr,description_fr
challenge-ears-backbiting-01,ears,listening_to_backbiting,1,easy,Walk Away from Gossip,"Today, politely leave any group or space where backbiting starts — even if it's subtle.",أوقف النميمة,اليوم، إذا سمعت نميمة، قل 'لا أريد أن أسمع هذا' أو اتركهم.,Arrêter les commérages,"Aujourd'hui, si vous entendez des commérages, dites 'Je ne veux pas entendre cela' ou quittez-les."
challenge-ears-backbiting-02,ears,listening_to_backbiting,3,medium,3-Day Backbiting Filter,"If anyone speaks ill of someone absent, change the subject or excuse yourself for 3 days.",تطهير الأذن لمدة 3 أيام,لمدة 3 أيام، تجنب الاستماع إلى النميمة أو الغيبة.,Nettoyage des oreilles de 3 jours,"Pendant 3 jours, évitez d'écouter les commérages ou la médisance."
challenge-ears-backbiting-03,ears,listening_to_backbiting,7,medium,Gossip-Free Week,Avoid listening to backbiting in any form (in-person or digital) for 7 days.,7 أيام من الاستماع المطهر,لمدة أسبوع، استمع فقط إلى ما هو مفيد وإيجابي.,7 jours d'écoute purifiée,"Pendant une semaine, écoutez seulement ce qui est utile et positif."
challenge-ears-gossip-01,ears,enjoying_gossip,1,easy,Turn It Off,"Don't listen to or click on any content that involves drama, scandals, or celebrity gossip today.",أغلق المحتوى,لا تستمع أو تنقر على أي محتوى يتضمن دراما أو فضائح أو نميمة مشاهير اليوم.,Éteignez-le,"N'écoutez pas ou ne cliquez pas sur du contenu impliquant des drames, des scandales ou des potins de célébrités aujourd'hui."
challenge-ears-gossip-02,ears,enjoying_gossip,7,medium,7-Day Gossip Detox,"For 1 week, avoid all audio content that shames, exposes, or mocks others.",نظافة الأذن لمدة 3 أيام,لمدة 3 أيام، تجنب جميع أشكال الاستماع للنميمة أو الدراما أو الفضائح.,Nettoyage des oreilles de 3 jours,"Pendant 3 jours, évitez toutes les formes d'écoute de commérages, de drames ou de scandales."
challenge-ears-gossip-03,ears,enjoying_gossip,14,hard,14-Day Honour Guard,"For 2 weeks, do not entertain any talk or audio that humiliates or mocks people.",14 يوماً من حراسة الشرف,لمدة أسبوعين، كن حارساً للشرف ولا تستمع لما يضر بسمعة الآخرين.,14 jours de garde d'honneur,"Pendant deux semaines, soyez un gardien de l'honneur et n'écoutez pas ce qui nuit à la réputation des autres."
challenge-ears-harmful-01,ears,tolerating_harmful_speech,1,easy,Speak Up or Exit,"Today, if someone uses harmful speech in your presence, kindly redirect or leave.",تجنب الكلام الضار,اليوم، تجنب الاستماع إلى أي كلام يضر بك أو بالآخرين.,Éviter les paroles nuisibles,"Aujourd'hui, évitez d'écouter toute parole qui vous nuit ou nuit aux autres."
challenge-ears-harmful-02,ears,tolerating_harmful_speech,3,medium,3-Day Harm-Free Space,Create an environment around you where no foul or harmful speech is tolerated.,مساحة خالية من الضرر لمدة 3 أيام,لمدة 3 أيام، اخلق مساحة خالية من الكلام الضار.,Espace sans dommage de 3 jours,"Pendant 3 jours, créez un espace exempt de paroles nuisibles."
challenge-ears-harmful-03,ears,tolerating_harmful_speech,7,medium,7 Days of Listening With Dignity,"For 7 days, avoid any gathering where speech is cruel, sarcastic, or vulgar.",7 أيام من الاستماع بكرامة,لمدة أسبوع، استمع فقط لما يحفظ كرامتك وكرامة الآخرين.,7 jours d'écoute avec dignité,"Pendant une semaine, écoutez seulement ce qui préserve votre dignité et celle des autres."
challenge-ears-inappropriate-01,ears,inappropriate_content,1,easy,Mute the Profanity,"No music, shows, or clips with cursing or indecent jokes today.",كتم الألفاظ النابية,اليوم، تجنب الاستماع إلى الموسيقى أو المحتوى ذي الكلمات النابية.,Couper la vulgarité,"Aujourd'hui, évitez d'écouter de la musique ou du contenu avec des mots vulgaires."
challenge-ears-inappropriate-02,ears,inappropriate_content,7,medium,7-Day Sound Purification,"Avoid indecent audio: music, podcasts, or anything vulgar — for 1 week.",تطهير الصوت لمدة 7 أيام,لمدة أسبوع، تجنب كل المحتوى الصوتي غير اللائق.,Purification sonore de 7 jours,"Pendant une semaine, évitez tout contenu audio inapproprié."
challenge-ears-inappropriate-03,ears,inappropriate_content,14,hard,14-Day Clean Feed,"Silence all platforms or channels that use mocking, obscene, or crass audio.",تغذية نظيفة لمدة 14 يوماً,لمدة أسبوعين، استمع فقط إلى المحتوى الطاهر والمفيد.,Alimentation propre de 14 jours,"Pendant deux semaines, écoutez seulement du contenu pur et utile."
challenge-ears-eavesdrop-01,ears,eavesdropping,1,easy,Respect the Boundary,"If you overhear something private, resist engaging or remembering it.",احترم الحدود,اليوم، تجنب الاستماع إلى المحادثات الخاصة. احترم خصوصية الآخرين.,Respecter les limites,"Aujourd'hui, évitez d'écouter les conversations privées. Respectez l'intimité des autres."
challenge-ears-eavesdrop-02,ears,eavesdropping,3,medium,3-Day Ears of Trust,Walk away from any private conversation that you're not invited into.,آذان الثقة لمدة 3 أيام,لمدة 3 أيام، كن أهلاً للثقة في ما تسمعه.,Oreilles de confiance de 3 jours,"Pendant 3 jours, soyez digne de confiance dans ce que vous entendez."
challenge-ears-eavesdrop-03,ears,eavesdropping,7,medium,7-Day Eavesdropping Fast,"Avoid all forms of passive eavesdropping, digital or in-person, for a week.",صوم التجسس لمدة 7 أيام,لمدة أسبوع، تجنب التجسس على المحادثات الخاصة.,Jeûne d'espionnage de 7 jours,"Pendant une semaine, évitez d'espionner les conversations privées."
challenge-ears-defend-01,ears,failing_to_defend,1,easy,Say One Good Word,"When you hear someone insulted, say one positive thing about them in response.",قل كلمة طيبة واحدة,اليوم، دافع عن شخص غائب بكلمة طيبة واحدة.,Dire un bon mot,"Aujourd'hui, défendez une personne absente avec un bon mot."
