Category,Key,English,Arabic,French,Context/Description
Common,loading,Loading...,جارٍ التحميل...,Chargement...,General loading message
Common,error,Error,خطأ,Erreur,Generic error message
Common,success,Success,نجح,Succès,Success confirmation
Common,save,Save,حفظ,Enregistrer,Save button
Common,cancel,Cancel,إلغاء,Annuler,Cancel button
Common,delete,Delete,حذف,Supprimer,Delete button
Common,edit,Edit,تعديل,Modifier,Edit button
Common,add,Add,إضافة,Ajouter,Add button
Common,back,Back,رجوع,Retour,Back navigation
Common,next,Next,التالي,Suivant,Next button
Common,previous,Previous,السابق,Précédent,Previous button
Common,continue,Continue,متابعة,Continuer,Continue button
Common,finish,Finish,إنهاء,Terminer,Finish button
Common,close,Close,إغلاق,Fermer,Close button
Common,yes,Yes,نعم,Oui,Confirmation yes
Common,no,No,لا,Non,Confirmation no
Common,confirm,Confirm,تأكيد,Confirmer,Confirm action
Navigation,dashboard,Dashboard,لوحة التحكم,Tableau de bord,Main dashboard tab
Navigation,assessment,Assessment,التقييم,Évaluation,Self-assessment tab
Navigation,challenges,Challenges,التحديات,Défis,Challenges tab
Navigation,content,Content,المحتوى,Contenu,Content tab
Navigation,profile,Profile,الملف الشخصي,Profil,Profile tab
Navigation,settings,Settings,الإعدادات,Paramètres,Settings tab
Navigation,sos,SOS,SOS,SOS,Emergency support tab
Navigation,goals,Goals,الأهداف,Objectifs,Goals tab
Dashboard,title,Spiritual Journey Dashboard,لوحة الرحلة الروحية,Tableau de bord du voyage spirituel,Main dashboard title
Dashboard,welcomeBack,Welcome back,أهلاً بعودتك,Bon retour,Welcome message
Dashboard,todaysProgress,Today's Progress,تقدم اليوم,Progrès d'aujourd'hui,Today's progress section
Dashboard,activeChallenges,Active Challenges,التحديات النشطة,Défis actifs,Active challenges section
Dashboard,recentLessons,Recent Lessons,الدروس الأخيرة,Leçons récentes,Recent lessons section
Dashboard,spiritualGoals,Spiritual Goals,الأهداف الروحية,Objectifs spirituels,Spiritual goals section
Dashboard,quickActions,Quick Actions,الإجراءات السريعة,Actions rapides,Quick actions section
Dashboard,emergencySupport,Emergency Support,الدعم الطارئ,Support d'urgence,Emergency support section
Assessment,title,Self Assessment,التقييم الذاتي,Auto-évaluation,Self-assessment page title
Assessment,welcome,Welcome to Your Spiritual Assessment,مرحباً بك في تقييمك الروحي,Bienvenue à votre évaluation spirituelle,Assessment welcome message
Assessment,description,This assessment will help identify areas for spiritual growth,سيساعدك هذا التقييم في تحديد مجالات النمو الروحي,Cette évaluation aidera à identifier les domaines de croissance spirituelle,Assessment description
Assessment,startAssessment,Start Assessment,بدء التقييم,Commencer l'évaluation,Start assessment button
Assessment,takeFullAssessment,Take Full Assessment,أخذ التقييم الكامل,Passer l'évaluation complète,Full assessment option
Assessment,selectSpecificArea,Select Specific Area,اختيار مجال محدد,Sélectionner un domaine spécifique,Specific area selection
Assessment,question,Question {{number}} of {{total}},السؤال {{number}} من {{total}},Question {{number}} sur {{total}},Question counter format
Assessment,never,Never,أبداً,Jamais,Scale option: never
Assessment,rarely,Rarely,نادراً,Rarement,Scale option: rarely
Assessment,sometimes,Sometimes,أحياناً,Parfois,Scale option: sometimes
Assessment,often,Often,غالباً,Souvent,Scale option: often
Assessment,always,Always,دائماً,Toujours,Scale option: always
Assessment,resultsTitle,Your Assessment Results,نتائج تقييمك,Vos résultats d'évaluation,Results page title
Assessment,primaryArea,Primary Area for Focus,المجال الأساسي للتركيز,Domaine principal de concentration,Primary focus area
Assessment,secondaryArea,Secondary Area for Focus,المجال الثانوي للتركيز,Domaine secondaire de concentration,Secondary focus area
Assessment,setGoals,Set Your Goals,حدد أهدافك,Définir vos objectifs,Set goals button
Assessment,startJourney,Start Your Journey,ابدأ رحلتك,Commencer votre voyage,Start journey button
Challenges,title,Challenges,التحديات,Défis,Challenges page title
Challenges,description,"Challenges are time-bound spiritual tasks designed to help you build discipline and overcome specific sins. Choose from daily, 7-day, or 40-day challenges, and track your consistency as you grow.",التحديات هي مهام روحية محددة بوقت مصممة لمساعدتك في بناء الانضباط والتغلب على ذنوب محددة. اختر من التحديات اليومية أو 7 أيام أو 40 يوماً وتتبع ثباتك أثناء نموك.,"Les défis sont des tâches spirituelles limitées dans le temps conçues pour vous aider à développer la discipline et à surmonter des péchés spécifiques. Choisissez parmi les défis quotidiens, de 7 jours ou de 40 jours, et suivez votre constance au fur et à mesure que vous grandissez.",Challenges page description
Challenges,active,Active Challenges,التحديات النشطة,Défis actifs,Active challenges tab
Challenges,completed,Completed,مكتملة,Terminés,Completed challenges tab
Challenges,abandoned,Abandoned,متروكة,Abandonnés,Abandoned challenges tab
Challenges,history,Challenge History,تاريخ التحديات,Historique des défis,Challenge history section
Challenges,selectNew,Select New Challenge,اختيار تحدي جديد,Sélectionner un nouveau défi,Select new challenge button
Challenges,logSuccess,Log Success,تسجيل نجاح,Enregistrer le succès,Log success button
Challenges,logIssue,Log Issue,تسجيل مشكلة,Enregistrer un problème,Log issue button
Challenges,abandon,Abandon,ترك,Abandonner,Abandon challenge button
Challenges,viewDetails,View Details,عرض التفاصيل,Voir les détails,View details button
Challenges,progress,Progress,التقدم,Progrès,Progress label
Challenges,streak,Streak,الشريط,Série,Streak label
Challenges,microType,Micro Challenge (1 Day),تحدي صغير (يوم واحد),Micro défi (1 jour),Micro challenge type
