Category,Category_ID,Category_Description,Subcategory,Subcategory_ID,Content_Type,Status
Tongue,tongue,"Speech & Communication - Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech",Lying,tongue_lying,Assessment,Active
Tongue,tongue,"Speech & Communication - Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech",Backbiting,tongue_backbiting,Assessment,Active
Tongue,tongue,"Speech & Communication - Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech",Mockery,tongue_mockery,Assessment,Active
Tongue,tongue,"Speech & Communication - Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech",Arguments,tongue_arguments,Assessment,Active
Tongue,tongue,"Speech & Communication - Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech",Negative Speech,tongue_negative_speech,Assessment,Active
Tongue,tongue,"Speech & Communication - Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech",Insincerity,tongue_insincerity,Assessment,Active
Tongue,tongue,"Speech & Communication - Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech",Betraying Confidence,tongue_betraying_confidence,Assessment,Active
Tongue,tongue,"Speech & Communication - Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech",Excessive Speech,tongue_excessive_speech,Assessment,Active
Tongue,tongue,"Speech & Communication - Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech",Inappropriate Humor,tongue_inappropriate_humor,Assessment,Active
Tongue,tongue,"Speech & Communication - Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech",Dominating Speech,tongue_dominating_speech,Assessment,Active
Tongue,tongue,"Speech & Communication - Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech",Habitual Lying,tongue_habitual_lying,Assessment,Active
Tongue,tongue,"Speech & Communication - Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech",Impulsive Speech,tongue_impulsive_speech,Assessment,Active
Tongue,tongue,"Speech & Communication - Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech",Harsh Speech,tongue_harsh_speech,Assessment,Active
Tongue,tongue,"Speech & Communication - Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech",Thoughtless Speech,tongue_thoughtless_speech,Assessment,Active
Tongue,tongue,"Speech & Communication - Words that harm others through lying, backbiting, slander, mockery, or inappropriate speech",Manipulative Speech,tongue_manipulative_speech,Assessment,Active
Eyes,eyes,"Visual Conduct - Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight",Forbidden Content,eyes_forbidden_content,Assessment,Active
Eyes,eyes,"Visual Conduct - Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight",Inappropriate Visual Material,eyes_inappropriate_visual,Assessment,Active
Eyes,eyes,"Visual Conduct - Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight",Envy Through Sight,eyes_envy_sight,Assessment,Active
Eyes,eyes,"Visual Conduct - Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight",Social Media Misuse,eyes_social_media,Assessment,Active
Eyes,eyes,"Visual Conduct - Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight",Entertainment Choices,eyes_entertainment,Assessment,Active
Eyes,eyes,"Visual Conduct - Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight",Lustful Gazing,eyes_lustful_gazing,Assessment,Active
Eyes,eyes,"Visual Conduct - Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight",Voyeuristic Behavior,eyes_voyeuristic,Assessment,Active
Eyes,eyes,"Visual Conduct - Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight",Comparing Through Sight,eyes_comparing,Assessment,Active
Eyes,eyes,"Visual Conduct - Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight",Staring Inappropriately,eyes_staring,Assessment,Active
Eyes,eyes,"Visual Conduct - Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight",Visual Temptation,eyes_temptation,Assessment,Active
Ears,ears,"Listening & Audio - Listening to backbiting, slander, inappropriate content, and other harmful speech",Listening to Backbiting,ears_backbiting,Assessment,Active
Ears,ears,"Listening & Audio - Listening to backbiting, slander, inappropriate content, and other harmful speech",Harmful Audio Content,ears_harmful_audio,Assessment,Active
Ears,ears,"Listening & Audio - Listening to backbiting, slander, inappropriate content, and other harmful speech",Gossip Participation,ears_gossip,Assessment,Active
Ears,ears,"Listening & Audio - Listening to backbiting, slander, inappropriate content, and other harmful speech",Inappropriate Music,ears_inappropriate_music,Assessment,Active
Ears,ears,"Listening & Audio - Listening to backbiting, slander, inappropriate content, and other harmful speech",Eavesdropping,ears_eavesdropping,Assessment,Active
Ears,ears,"Listening & Audio - Listening to backbiting, slander, inappropriate content, and other harmful speech",Encouraging Negative Talk,ears_encouraging_negative,Assessment,Active
Ears,ears,"Listening & Audio - Listening to backbiting, slander, inappropriate content, and other harmful speech",Seeking Harmful Information,ears_seeking_harmful,Assessment,Active
Ears,ears,"Listening & Audio - Listening to backbiting, slander, inappropriate content, and other harmful speech",Listening to Slander,ears_slander,Assessment,Active
Ears,ears,"Listening & Audio - Listening to backbiting, slander, inappropriate content, and other harmful speech",Consuming Negative Media,ears_negative_media,Assessment,Active
Ears,ears,"Listening & Audio - Listening to backbiting, slander, inappropriate content, and other harmful speech",Inappropriate Conversations,ears_inappropriate_conversations,Assessment,Active
